valid;pid;ppn;costs;isbdcount;matchcount;matchrate;avgcosts;goodorder4
1;57;193475952;1.85986304;13;7;0.5384615384615384;1.9052439009844981;0.8512831786633512
0;57;155867288;;65;34;0.5230769230769231;3.0235310621874247;0.5523874927243198
1;58;193477890;1.58690143;20;27;1.35;1.9024018231657966;0.7806148580986552
0;58;144541726;;127;25;0.1968503937007874;2.7909967678070196;0.47667637911074595
1;62;193478668;0.938770354;29;22;0.7586206896551724;2.162232107673066;0.7126343088927901
0;62;150802781;;64;24;0.375;2.6555872937594605;0.6013509580416534
1;99;25312381X;0.797620058;17;15;0.8823529411764706;2.7851286010999985;0.6941720439295914
0;99;229929532;;22;9;0.4090909090909091;2.686282922635671;0.4650187222840463
1;108;151338949;1.11012006;36;22;0.6111111111111112;2.379891886244789;0.4901428686941152
0;108;225735997;;18;8;0.4444444444444444;2.8646182992911897;0.38262390543372704
1;116;150210728;1.23443615;38;36;0.9473684210526315;1.2580194880289743;0.7631788074980433
0;116;317874039;;49;34;0.6938775510204082;1.9566844658290725;0.6123805156882172
1;153;193484153;1.09491742;24;23;0.9583333333333334;2.4411053787219585;0.6446584618069091
0;153;150260334;;64;27;0.421875;2.81205879391947;0.48761020519284354
1;154;140507744;1.81653523;16;16;1.0;2.2025272489688468;0.7451951053232129
0;154;225332876;;8;2;0.25;3.119988446448289;NaN
1;158;146968085;0.88209039;35;33;0.9428571428571428;2.1809084665092935;0.7189674403852023
0;158;248016709;;12;9;0.75;2.7562377366562663;0.41884687043266033
1;161;146968182;0.879074752;41;34;0.8292682926829268;1.7619114272739262;0.7694649822159622
0;161;147534100;;72;40;0.5555555555555556;2.92348074602565;0.47189964655654754
1;176;144134810;0.602747619;54;26;0.48148148148148145;2.2398520429976583;0.6057187273519213
0;176;148621473;;24;5;0.20833333333333334;2.374069981909165;0.5273127264818985
1;179;144416387;1.60336459;48;45;0.9375;1.8522399949953836;0.6844055562264758
0;179;188057307;;40;26;0.65;2.792772100606932;0.5181354378303994
1;180;193495236;1.16306329;40;33;0.825;1.4465771945376895;0.8540362976572016
0;180;147563194;;42;19;0.4523809523809524;2.7862469230828877;0.5371220480541438
1;183;193501589;1.94281113;13;12;0.9230769230769231;1.1156017974390937;0.8383317956695597
0;183;230228704;;117;41;0.3504273504273504;2.99833049938387;0.4618301945595576
1;187;238056961;1.32180226;113;58;0.5132743362831859;2.707070147570326;0.47149253077797637
0;187;138992134;;33;16;0.48484848484848486;2.71633326225319;0.5189230973516107
1;188;19350524X;1.18395674;55;13;0.23636363636363636;1.9900409524006422;0.5477700345324916
0;188;216682010;;77;15;0.19480519480519481;3.0521881852173967;0.3549743894804883
1;193;144474506;1.7220372;33;15;0.45454545454545453;2.4672439400857424;0.33101899039586435
0;193;225897911;;15;7;0.4666666666666667;2.7009104612665618;0.45616148823406305
1;198;144158329;1.25148034;34;20;0.5882352941176471;1.6728432621766416;0.7254059263880682
0;198;268234248;;19;8;0.42105263157894735;2.8281072305207022;0.532927522471702
1;200;172437652;1.72666824;36;28;0.7777777777777778;2.2890000191765814;0.6918613785132023
0;200;155505335;;26;9;0.34615384615384615;2.8337493761414527;0.5470498979118796
1;207;143680765;0.104753025;17;21;1.2352941176470589;1.128589227390279;0.9041940089793518
0;207;225518457;;23;5;0.21739130434782608;2.3574608099442456;0.48422447242344413
1;208;193519720;1.14357173;16;17;1.0625;0.982308340949338;0.7975748712497034
0;208;194833526;;36;12;0.3333333333333333;2.8159141177527434;0.5100165976167499
1;209;19353472X;0.559985638;12;15;1.25;1.9305321202146921;0.6894935125130096
0;209;136045960;;75;47;0.6266666666666667;2.771538235578725;0.5217431852993273
1;231;193580128;0.712631822;30;5;0.16666666666666666;1.2032531003926492;0.5439535576014547
0;231;194483142;;18;6;0.3333333333333333;3.15651764647207;0.5344792460382726
1;232;193506602;0.894456267;15;15;1.0;1.8911759865337554;0.7167217127931717
0;232;269827773;;25;2;0.08;3.2385671182606273;0.053688001997436396
1;234;151298076;0.361597538;9;10;1.1111111111111112;2.071760058073683;0.8304669209544332
0;234;227584198;;37;18;0.4864864864864865;2.9817215803352486;0.4717151006973227
1;237;193597608;1.83997297;72;95;1.3194444444444444;1.950540630884542;0.7539139256233661
0;237;213751291;;33;28;0.8484848484848485;2.3089464165358025;0.571965535673103
1;238;193598582;1.75562298;12;20;1.6666666666666667;1.2490915474314002;0.9266505127967385
0;238;23408863X;;26;9;0.34615384615384615;2.6912902814863005;0.42608128952212443
1;239;146977270;1.20807385;52;51;0.9807692307692307;1.6628919391519696;0.7143044462030289
0;239;151404283;;30;11;0.36666666666666664;2.846784041579748;0.5641948023420653
1;240;139089608;1.94181895;25;38;1.52;1.6400409815554344;0.8990569991609724
0;240;216777089;;20;12;0.6;2.4458928023705346;0.49322574697301896
1;241;151298114;1.63594365;29;41;1.4137931034482758;2.689282771226381;0.6419034757053484
0;241;265671205;;14;17;1.2142857142857142;2.738994060150523;0.6874113572317759
1;246;193696665;1.38504565;112;69;0.6160714285714286;2.794270773735184;0.5997089097806212
0;246;233210245;;26;16;0.6153846153846154;2.786116976123514;0.5141826531044882
1;306;193700719;0.99481523;21;24;1.1428571428571428;1.3188570473049348;0.8258185715509383
0;306;183342348;;82;33;0.4024390243902439;2.7626532566782833;0.5763177227503631
1;330;146978323;1.44562721;22;34;1.5454545454545454;2.272379682228141;0.7124521300549704
0;330;143033166;;35;26;0.7428571428571429;2.7770522374546642;0.6203815421989995
1;331;15129819X;1.37888134;25;23;0.92;1.8876417901901117;0.7689104277327622
0;331;310140897;;27;13;0.48148148148148145;2.2424923001186956;0.3824619575169524
1;336;193737396;0.596845269;14;17;1.2142857142857142;1.9619435036549129;0.7871750127140807
0;336;137351194;;15;4;0.26666666666666666;2.8299391694607174;0.29222757277104483
1;355;193737620;0.161930114;8;10;1.25;0.5395285524346938;0.9410113262465634
0;355;144657848;;56;10;0.17857142857142858;3.07642717028795;0.5059490253716604
1;357;193738104;1.50937808;7;8;1.1428571428571428;2.014229829791743;0.6549368978860205
0;357;242007740;;36;20;0.5555555555555556;2.886706714387307;0.4112246809693126
1;372;144348578;1.77794576;161;147;0.9130434782608695;2.7037812112283097;0.6271999444180348
0;372;147153867;;35;33;0.9428571428571428;2.981640549016158;0.5502991265049447
1;373;144375281;1.57902873;60;30;0.5;2.7437079340874067;0.5602924019482871
0;373;313329478;;29;23;0.7931034482758621;2.6158917680216724;0.6780808107842708
1;377;193744899;1.79780567;9;12;1.3333333333333333;2.246009141590221;0.5861692030225976
0;377;150564627;;36;26;0.7222222222222222;2.9612526564034516;0.6057784811075541
1;437;193494345;1.07711828;57;75;1.3157894736842106;2.031892342895833;0.7862342591287436
0;437;186828934;;22;16;0.7272727272727273;3.044057975070615;0.5086465063072273
1;443;144363607;1.07576346;78;67;0.8589743589743589;2.4852187604926077;0.6081898224534842
0;443;235736465;;53;37;0.6981132075471698;3.0297883083313977;0.5669906903295161
1;446;146988892;1.38883638;68;98;1.4411764705882353;1.760273017276826;0.8033911975624751
0;446;143685368;;45;34;0.7555555555555555;2.5001679218535284;0.6296991951674115
1;449;193502526;1.64773536;30;34;1.1333333333333333;2.6300299594354115;0.6378104334643627
0;449;176952802;;16;14;0.875;2.560575375875994;0.5667352478316796
1;451;193506521;0.739320099;49;60;1.2244897959183674;2.4816052014860253;0.6056741293744068
0;451;226333485;;114;125;1.0964912280701755;2.8192876211918976;0.5656063613576678
1;452;193514494;0.595515251;83;98;1.180722891566265;2.760302041875591;0.6911521511338006
0;452;236597183;;75;63;0.84;2.884283013684749;0.5437415772473437
1;454;148631975;1.8176862;65;54;0.8307692307692308;2.03487402857285;0.7253656428116321
0;454;146760859;;67;40;0.5970149253731343;2.5080129038289694;0.5686582586732881
1;455;193518759;1.98585916;66;73;1.106060606060606;1.821948174787384;0.772209694298021
0;455;224780565;;38;28;0.7368421052631579;2.536238490622402;0.6124766525420355
1;457;193519712;1.78608251;30;46;1.5333333333333334;1.383638907998855;0.8926322006907776
0;457;150341032;;38;30;0.7894736842105263;2.7096043939907943;0.5504120931862002
1;459;193549972;1.55079997;130;90;0.6923076923076923;2.0793681697290696;0.7004020140183645
0;459;23688378X;;13;8;0.6153846153846154;2.8665081953814013;0.5691461531872648
1;461;185707351;1.379794;49;50;1.0204081632653061;1.6345497428046745;0.765469503490499
0;461;228034590;;11;3;0.2727272727272727;2.1367906805150474;0.8616049008267905
1;462;151224439;1.56319797;63;66;1.0476190476190477;1.7039188918927113;0.8379725812289438
0;462;151874395;;21;14;0.6666666666666666;2.875103457317072;0.34914674923311007
1;463;193580187;1.47374499;48;46;0.9583333333333334;2.4277095508025064;0.582292525479593
0;463;133634116;;34;23;0.6764705882352942;2.7404284828965073;0.5175542305679064
1;464;193584360;1.25302446;33;43;1.303030303030303;2.102440408982113;0.7870113710634853
0;464;189063599;;61;36;0.5901639344262295;2.9338027643093962;0.4661740105295967
1;465;193590360;1.58868909;21;30;1.4285714285714286;2.2293444236207;0.726140961375945
0;465;14557332X;;60;40;0.6666666666666666;2.979070386073002;0.6636064692700032
1;470;149967853;1.36124647;57;52;0.9122807017543859;2.2009673282243125;0.6696961735385845
0;470;148527450;;78;67;0.8589743589743589;2.4888601967477793;0.559318323586381
1;471;193701936;1.9455421;83;72;0.8674698795180723;2.1702982227342824;0.6645379810825932
0;471;226170179;;13;11;0.8461538461538461;2.8539338695907785;0.41665662593472963
1;473;193708639;1.6128031;29;25;0.8620689655172413;2.642435909670254;0.6003639999348838
0;473;236481258;;24;20;0.8333333333333334;2.95419761568813;0.5269664993931227
1;478;151224374;1.70909584;30;37;1.2333333333333334;1.3048550102067502;0.8913823912549335
0;478;271128488;;60;31;0.5166666666666667;1.8638623731610064;0.5722702178798431
