valid;avgcosts;avgcosts1;avgcosts12;avgcosts2;goodorder;goodorder1;goodorder12;goodorder2;isbdcount;isbdcount1;isbdcount12;isbdcount2;matchcount;matchcount1;matchcount12;matchcount2;matchrate;matchrate1;matchrate12;matchrate2;
1.0;2.65388225378377;2.65388225378377;2.65388225378377;3.5;0.663212894894533;0.663212894894533;0.663212894894533;0.3;27.0;27.0;27.0;0.0;36.0;36.0;36.0;0.0;1.33333333333333;1.33333333333333;1.33333333333333;0.0;
1.0;2.10603101851706;2.79396705898126;2.12328925191721;2.04527610211076;0.542255322415326;0.0405460431263727;0.584924352094073;0.608921863803157;18.0;2.0;14.0;13.0;20.0;3.0;17.0;15.0;1.11111111111111;1.5;1.21428571428571;1.15384615384615;
0.0;2.93919107348448;3.5;2.91770791796281;2.91770791796281;0.451141601024665;-0.0;0.452507549724392;0.452507549724392;31.0;1.0;21.0;21.0;17.0;0.0;10.0;10.0;0.548387096774194;0.0;0.476190476190476;0.476190476190476;
0.0;3.08818744139031;2.81894724655446;2.99125324711405;3.07740624739384;0.627322118664798;0.3;0.680839509929834;0.672494727991552;19.0;2.0;5.0;3.0;23.0;2.0;6.0;4.0;1.21052631578947;1.0;1.2;1.33333333333333;
1.0;2.98437397242712;3.5;3.08574018309526;3.08574018309526;0.470891201732732;-0.0;0.465645043721496;0.465645043721496;29.0;3.0;18.0;18.0;14.0;0.0;10.0;10.0;0.482758620689655;0.0;0.555555555555556;0.555555555555556;
0.0;2.74756044286838;2.63514120905004;2.71670368807044;2.71670368807044;0.524998117701916;0.3;0.522412114243552;0.513097070480986;82.0;2.0;69.0;69.0;53.0;2.0;49.0;49.0;0.646341463414634;1.0;0.710144927536232;0.710144927536232;
1.0;2.8436827554818;2.31522011025972;2.79699179722401;2.81793839230941;0.585184377213378;0.3;0.593860393936027;0.587936676941619;67.0;2.0;56.0;55.0;63.0;2.0;48.0;46.0;0.940298507462687;1.0;0.857142857142857;0.836363636363636;
1.0;1.89145856581865;2.41734177012681;2.01720236844441;1.75044276732281;0.731148487110703;0.3;0.863853982829487;0.902047678241546;20.0;2.0;6.0;4.0;13.0;2.0;5.0;3.0;0.65;1.0;0.833333333333333;0.75;
0.0;2.96472022387932;3.5;2.96472022387932;2.96472022387932;0.524723486001829;-0.0;0.524723486001829;0.524723486001829;18.0;2.0;18.0;16.0;6.0;0.0;6.0;6.0;0.333333333333333;0.0;0.333333333333333;0.375;
0.0;2.86305282815941;2.53811588056485;2.73840300199646;2.73840300199646;0.377235948476659;0.3;0.296122105968426;0.4107701736054;10.0;2.0;8.0;8.0;6.0;1.0;5.0;5.0;0.6;0.5;0.625;0.625;
1.0;2.47341704818054;2.36255286697843;2.47341704818054;2.41836435345178;0.629536816834236;0.066825970694477;0.629536816834236;0.659026646668281;21.0;2.0;21.0;21.0;27.0;3.0;27.0;25.0;1.28571428571429;1.5;1.28571428571429;1.19047619047619;
1.0;2.43909607416492;3.14465126937932;2.62690313962903;2.61472644814013;0.616269716530688;0.665231247410888;0.588935643614761;0.60102830931109;59.0;3.0;49.0;49.0;87.0;3.0;68.0;67.0;1.47457627118644;1.0;1.38775510204082;1.36734693877551;
1.0;2.69195472100257;3.17245718726141;2.69195472100257;2.69195472100257;0.423745513626884;0.653064562203163;0.423745513626884;0.452514981931127;16.0;4.0;16.0;15.0;9.0;2.0;9.0;9.0;0.5625;0.5;0.5625;0.6;
1.0;1.79363509609957;2.88828807815694;1.79363509609957;1.79363509609957;0.753968236529765;0.655930868093878;0.753968236529765;0.752870696973247;10.0;3.0;10.0;10.0;13.0;3.0;13.0;13.0;1.3;1.0;1.3;1.3;
0.0;2.38001765080835;3.5;2.38001765080835;2.38001765080835;0.715476711096035;-0.0;0.715476711096035;0.715476711096035;19.0;1.0;19.0;19.0;7.0;0.0;7.0;7.0;0.368421052631579;0.0;0.368421052631579;0.368421052631579;
0.0;2.5798389045092;2.75926168744006;2.75926168744006;3.5;0.533776877871038;0.51613563223025;0.51613563223025;-0.0;58.0;38.0;41.0;3.0;33.0;26.0;26.0;0.0;0.568965517241379;0.684210526315789;0.634146341463415;0.0;
1.0;2.2064525182525;2.82250304485769;2.1166741683164;2.02042477606077;0.70324958733437;0.702500125257;0.733680380730841;0.739825471008678;33.0;2.0;28.0;26.0;27.0;3.0;25.0;22.0;0.818181818181818;1.5;0.892857142857143;0.846153846153846;
1.0;2.37353315043356;2.86925827360048;1.89878962698921;1.25181052924836;0.545722357297255;0.3;0.462528309506145;0.874477495482899;53.0;2.0;4.0;2.0;35.0;2.0;5.0;3.0;0.660377358490566;1.0;1.25;1.5;
0.0;2.98932331203118;3.21696782609737;2.98932331203118;2.98932331203118;0.438054956136932;0.066825970694477;0.438054956136932;0.449686141086014;21.0;2.0;21.0;21.0;14.0;2.0;14.0;14.0;0.666666666666667;1.0;0.666666666666667;0.666666666666667;
